Startup,Industry,Technology,Region,Employee count,Total funding €,Website
B2B WAVE LTD ΥΠΟΚΑΤΑΣΤΗΜΑ ΕΛΛΑΔΟΣ,RetailTech – E-Commerce - FashionTech,"Software, Web or Mobile Application",Attica,4,-
BabylonGardens (Green Deal IKE),"Environment & Energy (GreenTech, CleanTech)","Cleantech, Other",Attica,1,245K
Baggagement,Travel / Hospitality / Leisure,"Hardware, Other, Software, Web or Mobile Application",Attica,2,-
BD INVENTIONS ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Manufacturing,Sensors,Central Macedonia,5,-
BE A GREEK IKE,Travel / Hospitality / Leisure,"Other, Web or Mobile Application",Attica,9,-
Beelive Health PC,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Sensors, Software",Crete,1,-
BEENOTES PLUS PRIVATE COMPANY,AgriTech / FoodTech,"Data Analytics - Big Data, Web or Mobile Application",Attica,-,-
BEL Software IKE,Advertising & Marketing (AdTech),"Software, Web or Mobile Application",Attica,-,-
Bespot,RetailTech – E-Commerce - FashionTech,"AI, Data Analytics - Big Data, IoT, Sensors, Software, Web or Mobile Application",Attica,35,1M
BFLEX SINGLE MEMBER PC,Mobility,"IoT, Software, Web or Mobile Application",Attica,3,60K
BIBE COFFEE LIMITED GREEK BRANCH,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Hardware, IoT, Sensors, Software",Attica,23,3.92M
BID2BOARD P.C.,Maritime,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,2,-
Billys,"Real Estate (PropTech, Construction)","IoT, Software, Web or Mobile Application",Attica,2,805K
Bio-Based Energy Technologies PC,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Hardware",Central Macedonia,4,577K
BioAssist,"Life Sciences (MedTech, HealthTech, BioTech)","AI, AR/VR, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Western Greece,12,125K
BIOAXIS HEALTHCARE SOUTHEAST EUROPE S.A.,Advertising & Marketing (AdTech),"AI, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,26,-
BIOCOS IKE,AgriTech / FoodTech,Other,Crete,4,803K
BIOEMISSION TECHNOLOGY SOLUTIONS IKE,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Hardware, Nanotech, Sensors",Attica,15,-
Biomimetic Private Company,Manufacturing,"Cleantech, Hardware, Nanotech, Other, Software",Crete,6,900K
BIOPIX DNA TECHNOLOGY IKE,"Life Sciences (MedTech, HealthTech, BioTech)",Diagnostic/Imaging,Crete,17,1.97M
Bitloops,Other,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,7,115K
Bitrezus I.K.E,Security,"AI, Blockchain, Hardware, IoT",Attica,3,50K
BL NANOBIOMED PRIVATE COMPANY,"Life Sciences (MedTech, HealthTech, BioTech)","3D Printing, Nanotech, Sensors",Central Macedonia,4,1.42M
Blocktech Private Company,FinTech – Financial Services (WealthTech),"Blockchain, Other, Software",Attica,8,60K
Blue Avatars Μονοπρόσωπη IKE,"Entertainment/Media (Games, Sports, Social)","AI, AR/VR, Cloud Computing, Software, Web or Mobile Application",Central Macedonia,11,-
BLUECYCLE P.C.,"Environment & Energy (GreenTech, CleanTech)","3D Printing, Other",Attica,3,-
BLUEVISION PRIVATE COMPANY,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Attica,1,-
Bolt Virtual,EduTech - Education,"AI, AR/VR, Software, Web or Mobile Application",Attica,6,250K
BOOKING CLINIC RESEARCH Ι.Κ.Ε.,"Life Sciences (MedTech, HealthTech, BioTech)",Web or Mobile Application,Central Macedonia,2,40K
BOOMS IKE,Advertising & Marketing (AdTech),"Data Analytics - Big Data, Other, Software, Web or Mobile Application",Attica,23,-
Boothic SMPC,"Entertainment/Media (Games, Sports, Social)","AI, AR/VR, Cloud Computing, Hardware, Software, Web or Mobile Application",Attica,-,-
BRAINY ΔΙΑΔΙΚΤΥΑΚΗ ΕΚΠΑΙΔΕΥΤΙΚΗ ΠΛΑΤΦΟΡΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,EduTech - Education,Web or Mobile Application,Attica,4,100K
BRYQ - IDALTO HELLAS ΜΙΚΕ,Human Resources,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,11,5.5M
BuildingHow Team,"Real Estate (PropTech, Construction)","AI, Other, Software, Web or Mobile Application",Attica,2,-
BUTLAIR Electronic Communication and Advertising Services,Advertising & Marketing (AdTech),"Software, Web or Mobile Application",Attica,1,-
BUY THE MILE SA,InsurTech - Insurance,"Data Analytics - Big Data, IoT, Sensors, Software",Attica,5,100K
C-JOB ATHENS S.M.P.C.,Maritime,Other,Attica,8,-
Campsaround,Travel / Hospitality / Leisure,"IoT, Software, Web or Mobile Application",Attica,6,273K
CAPTAIN COACH P.C.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, AR/VR, Hardware, IoT, Sensors",Central Macedonia,-,70K
Startup,Industry,Technology,Region,Employee count,Total funding €,Website
CARDIOMED EUROPE PC,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Software",Central Macedonia,2,10K
Carge - a PPC Group Company,Mobility,"AI, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,8,327K
CARGOSHARE P.C.,Maritime,"Networks, Software",Attica,4,32K
Centaur Technologies P.C.,AgriTech / FoodTech,"Blockchain, Cleantech, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Thessaly,20,3.7M
CGWORKS IDIOTIKH KEFALAIOYXIKH ETAIREIA,Advertising & Marketing (AdTech),"AR/VR, Software, Web or Mobile Application",Attica,7,-
CIBOS Innovation,Logistics & Transportation,"AR/VR, Data Analytics - Big Data, Distributed Ledger, Drones, IoT, Sensors, Software, Web or Mobile Application",Attica,5,390K
Cinobo,"Art, Cultural & Creative Industries","Other, Web or Mobile Application",Attica,19,244K
Circuits Integrated Hellas IKE,Other,"Hardware, IoT, Networks, Sensors",Attica,7,-
CityCrop Automated Indoor Farming P.C,AgriTech / FoodTech,"AI, Data Analytics - Big Data, Hardware, IoT, Other, Robotics, Sensors, Software, Web or Mobile Application",Attica,7,51K
CLICKTOTHERAPY I.K.E,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Web or Mobile Application",Attica,7,200K
Clio Muse Tours,Travel / Hospitality / Leisure,"AR/VR, Software, Web or Mobile Application",Attica,14,500K
cloudeo Hellas P.C.,InsurTech - Insurance,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Software, Web or Mobile Application",Attica,4,-
Cloudpharm Private Company,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Other",Attica,9,500K
Cocoon Modules PC,"Real Estate (PropTech, Construction)","Hardware, Other",Attica,6,-
Code BGP,Other,"Cloud Computing, Networks, Software, Web or Mobile Application",Crete,9,1.2M
CODE4THOUGHT IKE,Other,"AI, Software",Western Greece,10,-
Codebender R&D Hellas,Other,"Cloud Computing, IoT, Software, Web or Mobile Application",Western Greece,1,830K
CODEFUNNELS PRIVATE COMPANY,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Other, Web or Mobile Application",Western Greece,22,100K
Coffe-Eco,AgriTech / FoodTech,"Cleantech, Hardware, Other",Western Greece,6,300K
Cogninn,Other,"AI, AR/VR, Cloud Computing, IoT, Networks",Attica,5,100K
Cognitiv+,LegalTech / RegTech,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,16,-
COGNITO IKE,Advertising & Marketing (AdTech),"AR/VR, Hardware, Other, Software, Web or Mobile Application",Attica,-,-
Cold Brew Innovations PC,AgriTech / FoodTech,Other,Attica,3,101K
Collaborate Healthcare,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Software, Web or Mobile Application",Attica,8,215K
CollegeLink IKE,Human Resources,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,40,380K
COMETOGETHER PC,Other,"Blockchain, Cloud Computing, Distributed Ledger, Software, Web or Mobile Application",Central Macedonia,10,482K
CompareGreece Ασφαλιστικός Πράκτορας Μον. ΙΚΕ (Pricefox),InsurTech - Insurance,Web or Mobile Application,Attica,21,-
Competence Center I4byDesign Private Company,Manufacturing,"3D Printing, AI, AR/VR, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Robotics, Sensors, Software, Web or Mobile Application",Central Macedonia,10,-
COMPETENCE CENTRE FOR A SUSTAINABLE AND RESILIENT BUILT ENVIRONMENT,Other,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Other, Sensors, Software, Web or Mobile Application",Western Macedonia,5,-
CONSULTINN SINGLE MEMBER PRIVATE COMPANY,FinTech – Financial Services (WealthTech),"AI, Web or Mobile Application",Attica,1,-
CONTACTPIGEON,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,42,-
Convert Group,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software",Attica,63,4.1M
Cordella,RetailTech – E-Commerce - FashionTech,Other,Attica,2,-
Costa Nostrum Certification,Travel / Hospitality / Leisure,"Blockchain, Other",Crete,1,88K
COVARIANCE P.C.,InsurTech - Insurance,"AI, Data Analytics - Big Data, Diagnostic/Imaging, Software, Web or Mobile Application",Attica,17,-
CSeaNav Νέα Πραγματικότητα Ναυσιπλοΐας ΙΚΕ,Maritime,"AI, AR/VR, Cloud Computing, Hardware, IoT, Sensors, Software",North Aegean,2,84K
Cube RM ΙΚΕ,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data, Software",Attica,38,-
CureCancer,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Web or Mobile Application",Attica,6,61
Cyclefi P.C.,"Environment & Energy (GreenTech, CleanTech)","AI, Blockchain, Cleantech, Cloud Computing, Data Analytics - Big Data, Distributed Ledger, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Attica,2,-
Cyclopt,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,12,-
CYRUS PC,"Environment & Energy (GreenTech, CleanTech)",Cleantech,Attica,5,200K
D-Cube PC,Manufacturing,"AI, AR/VR, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Central Macedonia,13,-
Dailycourier.gr,Advertising & Marketing (AdTech),"AI, Cloud Computing, Data Analytics - Big Data, IoT, Networks, Software, Web or Mobile Application",20,-
Data Bloo P.C.,Advertising & Marketing (AdTech),Data Analytics - Big Data,Attica,1,-
Dataphoria P.C.,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Data Analytics - Big Data",Attica,4,-
DATAVIVA GREECE,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,25,-
DBLABS ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,1,-
DEEPLAB IKE,Advertising & Marketing (AdTech),"AI, AR/VR, Data Analytics - Big Data, Software",Attica,13,-
DeepMed IO Ltd,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Software, Web or Mobile Application",Attica,6,1.41M
DeepSea Technologies,Maritime,"AI, Cloud Computing, IoT, Software",Attica,62,-
DEEPTRAFFIC - TRAFFIC AND MOBILITY MANAGEMENT TECHNOLOGIES P.C.,Mobility,"AI, Cloud Computing, Data Analytics - Big Data, IoT, Sensors, Software, Web or Mobile Application",Central Macedonia,8,-
Deliberative Technologies P.C.,FinTech – Financial Services (WealthTech),"Blockchain, Distributed Ledger, Other, Software, Web or Mobile Application",Attica,-,-
DELIVERBACK IKE,Travel / Hospitality / Leisure,"Cloud Computing, Software, Web or Mobile Application",Attica,5,122K
DeliverWOW,Logistics & Transportation,Software,Attica,2,96K
DELIVERY FLEET,Logistics & Transportation,"AI, Cloud Computing, Data Analytics - Big Data, Sensors, Software, Web or Mobile Application",Central Macedonia,5,-
DELIVERY GALAXY P.C.,Logistics & Transportation,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,-,-
DELIVERY MANAGER P.C.,RetailTech – E-Commerce - FashionTech,"AI, Cloud Computing, Data Analytics - Big Data, Web or Mobile Application",Central Macedonia,3,-
DELMA IKE,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Attica,3,-
Depia Automations,Other,"3D Printing, AI, AR/VR, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Nanotech, Robotics, Sensors, Software, Web or Mobile Application",Central Macedonia,17,-
DEUS EX MACHINA,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data",Central Macedonia,41,-
DEVA Group P.C.,RetailTech – E-Commerce - FashionTech,"AI, Cloud Computing, Data Analytics - Big Data, IoT, Software",Attica,17,-
DIALECTICA,Other,Other,Attica,300,-
DIB-IN SINGLE MEMBER PRIVATE CAPITAL COMPANY,RetailTech – E-Commerce - FashionTech,"Other, Web or Mobile Application",Central Macedonia,-,44K
